Date,GrandPrix,Position,Driver,FullName,BestLapTime,Tyre
2025-07-06,British Grand Prix,17,ANT,Kimi Antonelli,0 days 00:01:45.576000,HARD
2025-07-06,British Grand Prix,18,BOR,Gabriel Bortoleto,0 days 00:02:16.121000,MEDIUM
2025-07-27,Belgian Grand Prix,1,ANT,Kimi Antonelli,0 days 00:01:44.861000,None
2025-07-27,Belgian Grand Prix,2,HUL,Nico Hulkenberg,0 days 00:01:45.068000,None
2025-07-27,Belgian Grand Prix,3,NOR,Lando Norris,0 days 00:01:45.257000,HARD
2025-07-27,Belgian Grand Prix,4,PIA,Oscar Piastri,0 days 00:01:45.706000,MEDIUM
2025-07-27,Belgian Grand Prix,5,ALO,Fernando Alonso,0 days 00:01:45.849000,None
2025-07-27,Belgian Grand Prix,6,SAI,Carlos Sainz,0 days 00:01:46.073000,HARD
2025-07-27,Belgian Grand Prix,7,VER,Max Verstappen,0 days 00:01:46.096000,MEDIUM
2025-07-27,Belgian Grand Prix,8,COL,Franco Colapinto,0 days 00:01:46.104000,None
2025-07-27,Belgian Grand Prix,9,LEC,Charles Leclerc,0 days 00:01:46.174000,MEDIUM
2025-07-27,Belgian Grand Prix,10,HAM,Lewis Hamilton,0 days 00:01:46.534000,MEDIUM
2025-07-27,Belgian Grand Prix,11,RUS,George Russell,0 days 00:01:46.566000,MEDIUM
2025-07-27,Belgian Grand Prix,12,LAW,Liam Lawson,0 days 00:01:46.649000,MEDIUM
2025-07-27,Belgian Grand Prix,13,BEA,Oliver Bearman,0 days 00:01:46.709000,MEDIUM
2025-07-27,Belgian Grand Prix,14,OCO,Esteban Ocon,0 days 00:01:46.744000,MEDIUM
2025-07-27,Belgian Grand Prix,15,ALB,Alexander Albon,0 days 00:01:46.813000,MEDIUM
2025-07-27,Belgian Grand Prix,16,BOR,Gabriel Bortoleto,0 days 00:01:46.966000,MEDIUM
2025-07-27,Belgian Grand Prix,17,GAS,Pierre Gasly,0 days 00:01:47.177000,MEDIUM
2025-07-27,Belgian Grand Prix,18,STR,Lance Stroll,0 days 00:01:47.212000,MEDIUM
2025-07-27,Belgian Grand Prix,19,TSU,Yuki Tsunoda,0 days 00:01:47.241000,MEDIUM
2025-07-27,Belgian Grand Prix,20,HAD,Isack Hadjar,0 days 00:01:47.667000,HARD
2025-08-03,Hungarian Grand Prix,1,RUS,George Russell,0 days 00:01:19.409000,HARD
2025-08-03,Hungarian Grand Prix,2,PIA,Oscar Piastri,0 days 00:01:19.412000,HARD
2025-08-03,Hungarian Grand Prix,3,VER,Max Verstappen,0 days 00:01:19.576000,HARD
2025-08-03,Hungarian Grand Prix,4,SAI,Carlos Sainz,0 days 00:01:19.790000,MEDIUM
2025-08-03,Hungarian Grand Prix,5,NOR,Lando Norris,0 days 00:01:19.918000,HARD
2025-08-03,Hungarian Grand Prix,6,HUL,Nico Hulkenberg,0 days 00:01:20.013000,MEDIUM
2025-08-03,Hungarian Grand Prix,7,HAM,Lewis Hamilton,0 days 00:01:20.022000,MEDIUM
2025-08-03,Hungarian Grand Prix,8,ALO,Fernando Alonso,0 days 00:01:20.113000,HARD
2025-08-03,Hungarian Grand Prix,9,LEC,Charles Leclerc,0 days 00:01:20.440000,HARD
2025-08-03,Hungarian Grand Prix,10,LAW,Liam Lawson,0 days 00:01:20.457000,HARD
2025-08-03,Hungarian Grand Prix,11,BOR,Gabriel Bortoleto,0 days 00:01:20.705000,HARD
2025-08-03,Hungarian Grand Prix,12,STR,Lance Stroll,0 days 00:01:20.708000,HARD
2025-08-03,Hungarian Grand Prix,13,ANT,Kimi Antonelli,0 days 00:01:20.745000,HARD
2025-08-03,Hungarian Grand Prix,14,ALB,Alexander Albon,0 days 00:01:20.779000,HARD
2025-08-03,Hungarian Grand Prix,15,HAD,Isack Hadjar,0 days 00:01:20.802000,HARD
2025-08-03,Hungarian Grand Prix,16,COL,Franco Colapinto,0 days 00:01:20.827000,HARD
2025-08-03,Hungarian Grand Prix,17,TSU,Yuki Tsunoda,0 days 00:01:21.180000,HARD
2025-08-03,Hungarian Grand Prix,18,GAS,Pierre Gasly,0 days 00:01:21.433000,MEDIUM
2025-08-03,Hungarian Grand Prix,19,OCO,Esteban Ocon,0 days 00:01:21.916000,HARD
2025-08-03,Hungarian Grand Prix,20,BEA,Oliver Bearman,0 days 00:01:21.989000,HARD
2025-08-31,Dutch Grand Prix,1,PIA,Oscar Piastri,0 days 00:01:12.271000,HARD
